""	Energy 	0	15	30	45	60	75	82.5
Exp	1.0 	0.013 	0.017 	0.030 	0.058 	0.128 	0.288 	0.452
Theory 	1.0 	0.008 	0	0.020 	0.047 	0.114 	0.273 	0.431
Exp	0.5 	0.025 	0.030 	0.044 	0.076 	0.143 	0.311 	0.471
Theory 	0.5 	0.013 	0	0.029 	0.060 	0.130 	0.291 	0.440
Exp	0.3 	0.039 	0.047 	0.062 	0.099 	0.168 	0.333 	0.473
Theory 	0.3 	0.016 	0	0.033 	0.064 	0.138 	0.312 	0.467
Exp	0.1 	0.029 	0.026 	0.041 	0.083 	0.165 	0.327	0
Theory 	0.1 	0.020 	0	0.039 	0.072 	0.150 	0.306	0
Exp	0.075 	0.057 	0.051 	0.069 	0.086 	0.175 	0.405	0
Theory 	0.075 	0.022 	0	0.038 	0.073 	0.150 	0.313	0
Exp	0.05 	0.073 	0.080 	0.102 	0.134 	0.215	0	0
Theory 	0.05 	0.023 	0	0.040 	0.076 	0.151 	0.316	0
Exp 	0.025 	0.103 	0.115 	0.109 	0.134 	0.193	0	0
Theory 	0.025 	0.025 	0	0.043 	0.077 	0.150 	0.306	0
