""	Energy 	0	15	30	""	45	60	75	
Exp	1.033 	0.440 	0.452 	0.483 	""	0.540 	0.621 	0.739	
Theory 	1.0 	0.449 	0.457 	0.498 	""	0.557 	0.635 	0.747	
Exp	0.521 	0.486 	0.495 	0.526 	""	0.578 	0.657 	0.752	
Theory 	0.5 	0.486 	0.490 	0.533 	""	0.580 	0.657 	0.775	
Exp	0.314 	0.497 	0.512 	0.539 	""	0.595 	0.668	0	
Theory 	0.3 	0.496 	0.505 	0.533 	""	0.587 	0.672 	0.773	
Exp 	0.109 	0.506 	0.518 	0.550 	""	0.600 	0.662	0	
Theory 	0.1 	0.472 	0.496 	0.512 	""	0.583 	0.659 	0.758	
Exp	0.058 	0.497 	0.508 	0.539 	""	0.589 	0.662	0		
Theory 	0.05 	0.450 	0.457 	0.494 	""	0.549 	0.624 	0.757	
Exp	0.032 	0.494 	0.501 	0.526 	""	0.554 	0.576	0	
Theory 	0.025 	0.400 	0.412 	0.444 	""	0.507 	0.588 	0.705	
