""	Energy	"" 	0	15 	30	""	45	60	75
Exp	1.033 	""	0.421 	0.431 	0.463 	""	0.513 	0.589 	0.698
Theory 	1.0 	""	0.368 	0.378 	0.411 	""	0.458 	0.548 	0.654
Exp	0.521 	""	0.464 	0.477 	0.509 	""	0.546 	0.613 	0.714
Theory 	0.5 	""	0.415 	0.419 	0.450 	""	0.504 	0.563 	0.678
Exp	0.314 	""	0.489 	0.491 	0.521 	""	0.568 	0.631 	0.718
Theory 	0.3 	""	0.421 	0.431 	0.464 	""	0.517 	0.581 	0.676
Exp	0.109 	""	0.483 	0.488 	0.522 	""	0.572 	0.635 	0.702
Theory 	0.109 	""	0.402 	0.419 	0.449 	""	0.495 	0.560 	0.661
Exp	0.084 	""	0.485 	0.497 	0.516 	""	0.555 	0.615 	0.696
Theory 	0.084 	""	0.389 	0.410 	0.435 	""	0.481 	0.547 	0.648
Exp	0.058 	""	0.461 	0.473 	0.505 	""	0.544 	0.608	0
Theory 	0.058 	""	0.372 	0.383 	0.416 	""	0.454 	0.535 	0.648
Exp	0.032 	""	0.429 	0.453 	0.488 	""	0.506 	0.563	0
Theory 	0.032 	""	0.330 	0.343 	0.366 	""	0.406 	0.496 	0.597
