""	Energy	"" 	0	15	30	""	45	60	75
Exp	1.033 	""	0.491 	0.503 	0.531 	""	0.582 	0.649 	0.750
Theory 	1.0 	""	0.508 	0.518 	0.554 	""	0.600 	0.689 	0.778
Exp 	0.521 	""	0.534 	0.540 	0.568 	""	0.613 	0.677 	0.768
Theory 	0.5 	""	0.543 	0.547 	0.577 	""	0.632 	0.683 	0.791
Exp	0.314 	""	0.548 	0.556 	0.586 	""	0.634 	0.701 	0.778
Theory 	0.3 	""	0.545 	0.557 	0.581 	""	0.641 	0.700 	0.787
Exp	0.109 	""	0.543 	0.555 	0.583 	""	0.630 	0.690 	0.747
Theory 	0.109 	""	0.526 	0.538 	0.576 	""	0.620 	0.683 	0.777
Exp	0.084 	""	0.545 	0.547 	0.577 	""	0.620 	0.678 	0.740
Theory 	0.084 	""	0.509 	0.534 	0.559 	""	0.607 	0.672 	0.773
Exp	0.058 	""	0.518 	0.537 	0.562 	""	0.598 	0.654	0
Theory 	0.058 	""	0.498 	0.507 	0.544 	""	0.586 	0.675 	0.786
Exp	0.032 	""	0.496 	0.494 	0.516 	""	0.541 	0.574	0
Theory 	0.032 	""	0.459 	0.476 	0.502 	""	0.554 	0.648 	0.754
